description,category
MYNTRA,Shopping
myntra,Shopping
Ajio,Shopping
AJIO,Shopping
ajio,Shopping
Samsung,Shopping
SAMSUNG,Shopping
samsung,Shopping
Sony,Shopping
SONY,Shopping
sony,Shopping
Book Store,Shopping
BOOK STORE,Shopping
book store,Shopping
Gift Shop,Shopping
GIFT SHOP,Shopping
gift shop,Shopping
Jewelry Store,Shopping
JEWELRY STORE,Shopping
jewelry store,Shopping
Watch Store,Shopping
WATCH STORE,Shopping
watch store,Shopping
Sephora,Shopping
SEPHORA,Shopping
sephora,Shopping
Ulta,Shopping
ULTA,Shopping
ulta,Shopping
Bath & Body Works,Shopping
BATH & BODY WORKS,Shopping
bath & body works,Shopping
TJ Maxx,Shopping
TJ MAXX,Shopping
tj maxx,Shopping
Marshalls,Shopping
MARSHALLS,Shopping
marshalls,Shopping
HomeGoods,Shopping
HOMEGOODS,Shopping
homegoods,Shopping
Lululemon,Shopping
LULULEMON,Shopping
lululemon,Shopping
Victoria's Secret,Shopping
VICTORIA'S SECRET,Shopping
victoria's secret,Shopping
Dick's Sporting Goods,Shopping
DICK'S SPORTING GOODS,Shopping
dick's sporting goods,Shopping
Shein,Shopping
SHEIN,Shopping
shein,Shopping
Temu,Shopping
TEMU,Shopping
temu,Shopping
Asos,Shopping
ASOS,Shopping
asos,Shopping
Electric Bill,Bills & Utilities
ELECTRIC BILL,Bills & Utilities
electric bill,Bills & Utilities
Water Bill,Bills & Utilities
WATER BILL,Bills & Utilities
water bill,Bills & Utilities
Gas Bill,Bills & Utilities
GAS BILL,Bills & Utilities
gas bill,Bills & Utilities
Comcast,Bills & Utilities
COMCAST,Bills & Utilities
comcast,Bills & Utilities
Verizon,Bills & Utilities
VERIZON,Bills & Utilities
verizon,Bills & Utilities
AT&T,Bills & Utilities
AT&T,Bills & Utilities
at&t,Bills & Utilities
T-Mobile,Bills & Utilities
T-MOBILE,Bills & Utilities
t-mobile,Bills & Utilities
Spectrum,Bills & Utilities
SPECTRUM,Bills & Utilities
spectrum,Bills & Utilities
Electricity Board,Bills & Utilities
ELECTRICITY BOARD,Bills & Utilities
electricity board,Bills & Utilities
Municipal Water,Bills & Utilities
MUNICIPAL WATER,Bills & Utilities
municipal water,Bills & Utilities
Broadband,Bills & Utilities
BROADBAND,Bills & Utilities
broadband,Bills & Utilities
Jio,Bills & Utilities
JIO,Bills & Utilities
jio,Bills & Utilities
Airtel,Bills & Utilities
AIRTEL,Bills & Utilities
airtel,Bills & Utilities
BSNL,Bills & Utilities
BSNL,Bills & Utilities
bsnl,Bills & Utilities
Waste Management,Bills & Utilities
WASTE MANAGEMENT,Bills & Utilities
waste management,Bills & Utilities
Sewer Service,Bills & Utilities
SEWER SERVICE,Bills & Utilities
sewer service,Bills & Utilities
Home Security,Bills & Utilities
HOME SECURITY,Bills & Utilities
home security,Bills & Utilities
Pest Control,Bills & Utilities
PEST CONTROL,Bills & Utilities
pest control,Bills & Utilities
Lawn Care,Bills & Utilities
LAWN CARE,Bills & Utilities
lawn care,Bills & Utilities
HVAC Maintenance,Bills & Utilities
HVAC MAINTENANCE,Bills & Utilities
hvac maintenance,Bills & Utilities
Plumbing,Bills & Utilities
PLUMBING,Bills & Utilities
plumbing,Bills & Utilities
Electrician,Bills & Utilities
ELECTRICIAN,Bills & Utilities
electrician,Bills & Utilities
Home Cleaning,Bills & Utilities
HOME CLEANING,Bills & Utilities
home cleaning,Bills & Utilities
Laundry,Bills & Utilities
LAUNDRY,Bills & Utilities
laundry,Bills & Utilities
Property Tax,Bills & Utilities
PROPERTY TAX,Bills & Utilities
property tax,Bills & Utilities
HOA Dues,Bills & Utilities
HOA DUES,Bills & Utilities
hoa dues,Bills & Utilities
ConEd,Bills & Utilities
CONED,Bills & Utilities
coned,Bills & Utilities
PG&E,Bills & Utilities
PG&E,Bills & Utilities
pg&e,Bills & Utilities
Duke Energy,Bills & Utilities
DUKE ENERGY,Bills & Utilities
duke energy,Bills & Utilities
Sprint,Bills & Utilities
SPRINT,Bills & Utilities
sprint,Bills & Utilities
Cox Communications,Bills & Utilities
COX COMMUNICATIONS,Bills & Utilities
cox communications,Bills & Utilities
Liberty Utilities,Bills & Utilities
LIBERTY UTILITIES,Bills & Utilities
liberty utilities,Bills & Utilities
Dominion Energy,Bills & Utilities
DOMINION ENERGY,Bills & Utilities
dominion energy,Bills & Utilities
Xfinity,Bills & Utilities
XFINITY,Bills & Utilities
xfinity,Bills & Utilities
Optimum,Bills & Utilities
OPTIMUM,Bills & Utilities
optimum,Bills & Utilities
ADT Security,Bills & Utilities
ADT SECURITY,Bills & Utilities
adt security,Bills & Utilities
Movie Theater,Entertainment
MOVIE THEATER,Entertainment
movie theater,Entertainment
Netflix,Entertainment
NETFLIX,Entertainment
netflix,Entertainment
Concert Tickets,Entertainment
CONCERT TICKETS,Entertainment
concert tickets,Entertainment
Spotify,Entertainment
SPOTIFY,Entertainment
spotify,Entertainment
AMC Cinema,Entertainment
AMC CINEMA,Entertainment
amc cinema,Entertainment
Bowling Alley,Entertainment
BOWLING ALLEY,Entertainment
bowling alley,Entertainment
Mini Golf,Entertainment
MINI GOLF,Entertainment
mini golf,Entertainment
Amusement Park,Entertainment
AMUSEMENT PARK,Entertainment
amusement park,Entertainment
Zoo,Entertainment
ZOO,Entertainment
zoo,Entertainment
Museum,Entertainment
MUSEUM,Entertainment
museum,Entertainment
Comedy Show,Entertainment
COMEDY SHOW,Entertainment
comedy show,Entertainment
Sports Event,Entertainment
SPORTS EVENT,Entertainment
sports event,Entertainment
Video Game,Entertainment
VIDEO GAME,Entertainment
video game,Entertainment
PlayStation Store,Entertainment
PLAYSTATION STORE,Entertainment
playstation store,Entertainment
Xbox Game Pass,Entertainment
XBOX GAME PASS,Entertainment
xbox game pass,Entertainment
Nintendo,Entertainment
NINTENDO,Entertainment
nintendo,Entertainment
Disney Plus,Entertainment
DISNEY PLUS,Entertainment
disney plus,Entertainment
Hulu,Entertainment
HULU,Entertainment
hulu,Entertainment
HBO Max,Entertainment
HBO MAX,Entertainment
hbo max,Entertainment
Apple TV,Entertainment
APPLE TV,Entertainment
apple tv,Entertainment
Theme Park,Entertainment
THEME PARK,Entertainment
theme park,Entertainment
Escape Room,Entertainment
ESCAPE ROOM,Entertainment
escape room,Entertainment
Karaoke,Entertainment
KARAOKE,Entertainment
karaoke,Entertainment
Bar,Entertainment
BAR,Entertainment
bar,Entertainment
Club Entry,Entertainment
CLUB ENTRY,Entertainment
club entry,Entertainment
Board Game,Entertainment
BOARD GAME,Entertainment
board game,Entertainment
Arcade,Entertainment
ARCADE,Entertainment
arcade,Entertainment
Trampoline Park,Entertainment
TRAMPOLINE PARK,Entertainment
trampoline park,Entertainment
Laser Tag,Entertainment
LASER TAG,Entertainment
laser tag,Entertainment
Book Club,Entertainment
BOOK CLUB,Entertainment
book club,Entertainment
Regal Cinemas,Entertainment
REGAL CINEMAS,Entertainment
regal cinemas,Entertainment
Ticketmaster,Entertainment
TICKETMASTER,Entertainment
ticketmaster,Entertainment
StubHub,Entertainment
STUBHUB,Entertainment
stubhub,Entertainment
Steam,Entertainment
STEAM,Entertainment
steam,Entertainment
Epic Games,Entertainment
EPIC GAMES,Entertainment
epic games,Entertainment
Twitch,Entertainment
TWITCH,Entertainment
twitch,Entertainment
Billiard,Entertainment
BILLIARD,Entertainment
billiard,Entertainment
Cinemark,Entertainment
CINEMARK,Entertainment
cinemark,Entertainment
Eventbrite,Entertainment
EVENTBRITE,Entertainment
eventbrite,Entertainment
Doctor Visit,Health & Fitness
DOCTOR VISIT,Health & Fitness
doctor visit,Health & Fitness
Gym Membership,Health & Fitness
GYM MEMBERSHIP,Health & Fitness
gym membership,Health & Fitness
Pharmacy,Health & Fitness
PHARMACY,Health & Fitness
pharmacy,Health & Fitness
Dentist,Health & Fitness
DENTIST,Health & Fitness
dentist,Health & Fitness
Eye Doctor,Health & Fitness
EYE DOCTOR,Health & Fitness
eye doctor,Health & Fitness
CVS,Health & Fitness
CVS,Health & Fitness
cvs,Health & Fitness
Walgreens,Health & Fitness
WALGREENS,Health & Fitness
walgreens,Health & Fitness
GNC,Health & Fitness
GNC,Health & Fitness
gnc,Health & Fitness
Yoga Class,Health & Fitness
YOGA CLASS,Health & Fitness
yoga class,Health & Fitness
Personal Trainer,Health & Fitness
PERSONAL TRAINER,Health & Fitness
personal trainer,Health & Fitness
Physical Therapy,Health & Fitness
PHYSICAL THERAPY,Health & Fitness
physical therapy,Health & Fitness
Mental Health,Health & Fitness
MENTAL HEALTH,Health & Fitness
mental health,Health & Fitness
Dermatologist,Health & Fitness
DERMATOLOGIST,Health & Fitness
dermatologist,Health & Fitness
Lab Test,Health & Fitness
LAB TEST,Health & Fitness
lab test,Health & Fitness
X-Ray,Health & Fitness
X-RAY,Health & Fitness
x-ray,Health & Fitness
Health Insurance,Health & Fitness
HEALTH INSURANCE,Health & Fitness
health insurance,Health & Fitness
Dental Insurance,Health & Fitness
DENTAL INSURANCE,Health & Fitness
dental insurance,Health & Fitness
Contact Lenses,Health & Fitness
CONTACT LENSES,Health & Fitness
contact lenses,Health & Fitness
Protein Powder,Health & Fitness
PROTEIN POWDER,Health & Fitness
protein powder,Health & Fitness
Running Shoes,Health & Fitness
RUNNING SHOES,Health & Fitness
running shoes,Health & Fitness
Fitness App,Health & Fitness
FITNESS APP,Health & Fitness
fitness app,Health & Fitness
Calm,Health & Fitness
CALM,Health & Fitness
calm,Health & Fitness
Spa,Health & Fitness
SPA,Health & Fitness
spa,Health & Fitness
Chiropractor,Health & Fitness
CHIROPRACTOR,Health & Fitness
chiropractor,Health & Fitness
Urgent Care,Health & Fitness
URGENT CARE,Health & Fitness
urgent care,Health & Fitness
Hospital,Health & Fitness
HOSPITAL,Health & Fitness
hospital,Health & Fitness
Surgery,Health & Fitness
SURGERY,Health & Fitness
surgery,Health & Fitness
Ambulance,Health & Fitness
AMBULANCE,Health & Fitness
ambulance,Health & Fitness
Planet Fitness,Health & Fitness
PLANET FITNESS,Health & Fitness
planet fitness,Health & Fitness
Equinox,Health & Fitness
EQUINOX,Health & Fitness
equinox,Health & Fitness
LA Fitness,Health & Fitness
LA FITNESS,Health & Fitness
la fitness,Health & Fitness
Peloton,Health & Fitness
PELOTON,Health & Fitness
peloton,Health & Fitness
Anytime Fitness,Health & Fitness
ANYTIME FITNESS,Health & Fitness
anytime fitness,Health & Fitness
Crunch Fitness,Health & Fitness
CRUNCH FITNESS,Health & Fitness
crunch fitness,Health & Fitness
Rite Aid,Health & Fitness
RITE AID,Health & Fitness
rite aid,Health & Fitness
Kaiser Permanente,Health & Fitness
KAISER PERMANENTE,Health & Fitness
kaiser permanente,Health & Fitness
Blue Cross,Health & Fitness
BLUE CROSS,Health & Fitness
blue cross,Health & Fitness
Udemy,Education
UDEMY,Education
udemy,Education
Coursera,Education
COURSERA,Education
coursera,Education
College Tuition,Education
COLLEGE TUITION,Education
college tuition,Education
Textbook,Education
TEXTBOOK,Education
textbook,Education
School Supplies,Education
SCHOOL SUPPLIES,Education
school supplies,Education
SAT Prep,Education
SAT PREP,Education
sat prep,Education
GRE Test,Education
GRE TEST,Education
gre test,Education
TOEFL Exam,Education
TOEFL EXAM,Education
toefl exam,Education
Coding Bootcamp,Education
CODING BOOTCAMP,Education
coding bootcamp,Education
Language App,Education
LANGUAGE APP,Education
language app,Education
Skillshare,Education
SKILLSHARE,Education
skillshare,Education
LinkedIn Learning,Education
LINKEDIN LEARNING,Education
linkedin learning,Education
Khan Academy,Education
KHAN ACADEMY,Education
khan academy,Education
Tutoring,Education
TUTORING,Education
tutoring,Education
Music Lessons,Education
MUSIC LESSONS,Education
music lessons,Education
Art Class,Education
ART CLASS,Education
art class,Education
Conference,Education
CONFERENCE,Education
conference,Education
Certification,Education
CERTIFICATION,Education
certification,Education
Library Fine,Education
LIBRARY FINE,Education
library fine,Education
Study Materials,Education
STUDY MATERIALS,Education
study materials,Education
Notebook,Education
NOTEBOOK,Education
notebook,Education
Laptop,Education
LAPTOP,Education
laptop,Education
Calculator,Education
CALCULATOR,Education
calculator,Education
Student Loan,Education
STUDENT LOAN,Education
student loan,Education
Scholarship,Education
SCHOLARSHIP,Education
scholarship,Education
Educational Software,Education
EDUCATIONAL SOFTWARE,Education
educational software,Education
Duolingo,Education
DUOLINGO,Education
duolingo,Education
Chegg,Education
CHEGG,Education
chegg,Education
Quizlet,Education
QUIZLET,Education
quizlet,Education
Sallie Mae,Education
SALLIE MAE,Education
sallie mae,Education
Navient,Education
NAVIENT,Education
navient,Education
University,Education
UNIVERSITY,Education
university,Education
College,Education
COLLEGE,Education
college,Education
Bookstore,Education
BOOKSTORE,Education
bookstore,Education
Marriott,Travel
MARRIOTT,Travel
marriott,Travel
Airbnb,Travel
AIRBNB,Travel
airbnb,Travel
Hilton,Travel
HILTON,Travel
hilton,Travel
Delta,Travel
DELTA,Travel
delta,Travel
United Airlines,Travel
UNITED AIRLINES,Travel
united airlines,Travel
Southwest,Travel
SOUTHWEST,Travel
southwest,Travel
Hertz,Travel
HERTZ,Travel
hertz,Travel
Travel Insurance,Travel
TRAVEL INSURANCE,Travel
travel insurance,Travel
Passport,Travel
PASSPORT,Travel
passport,Travel
Visa,Travel
VISA,Travel
visa,Travel
Samsonite,Travel
SAMSONITE,Travel
samsonite,Travel
Travel Adapter,Travel
TRAVEL ADAPTER,Travel
travel adapter,Travel
Airport Lounge,Travel
AIRPORT LOUNGE,Travel
airport lounge,Travel
International SIM,Travel
INTERNATIONAL SIM,Travel
international sim,Travel
Travel Vaccination,Travel
TRAVEL VACCINATION,Travel
travel vaccination,Travel
Carnival Cruise,Travel
CARNIVAL CRUISE,Travel
carnival cruise,Travel
Tour Guide,Travel
TOUR GUIDE,Travel
tour guide,Travel
Hostel,Travel
HOSTEL,Travel
hostel,Travel
Resort,Travel
RESORT,Travel
resort,Travel
Beach Equipment,Travel
BEACH EQUIPMENT,Travel
beach equipment,Travel
Ski Resort,Travel
SKI RESORT,Travel
ski resort,Travel
Hiking Gear,Travel
HIKING GEAR,Travel
hiking gear,Travel
REI,Travel
REI,Travel
rei,Travel
Road Trip,Travel
ROAD TRIP,Travel
road trip,Travel
Travel Photography,Travel
TRAVEL PHOTOGRAPHY,Travel
travel photography,Travel
Expedia,Travel
EXPEDIA,Travel
expedia,Travel
Booking.com,Travel
BOOKING.COM,Travel
booking.com,Travel
Kayak,Travel
KAYAK,Travel
kayak,Travel
American Airlines,Travel
AMERICAN AIRLINES,Travel
american airlines,Travel
JetBlue,Travel
JETBLUE,Travel
jetblue,Travel
Spirit Airlines,Travel
SPIRIT AIRLINES,Travel
spirit airlines,Travel
Enterprise Rent-A-Car,Travel
ENTERPRISE RENT-A-CAR,Travel
enterprise rent-a-car,Travel
Avis,Travel
AVIS,Travel
avis,Travel
Budget,Travel
BUDGET,Travel
budget,Travel
Alamo,Travel
ALAMO,Travel
alamo,Travel
Vrbo,Travel
VRBO,Travel
vrbo,Travel
Hyatt,Travel
HYATT,Travel
hyatt,Travel
Holiday Inn,Travel
HOLIDAY INN,Travel
holiday inn,Travel
Netflix,Subscriptions
NETFLIX,Subscriptions
netflix,Subscriptions
Spotify,Subscriptions
SPOTIFY,Subscriptions
spotify,Subscriptions
Amazon Prime,Subscriptions
AMAZON PRIME,Subscriptions
amazon prime,Subscriptions
YouTube Premium,Subscriptions
YOUTUBE PREMIUM,Subscriptions
youtube premium,Subscriptions
Adobe,Subscriptions
ADOBE,Subscriptions
adobe,Subscriptions
Microsoft 365,Subscriptions
MICROSOFT 365,Subscriptions
microsoft 365,Subscriptions
Dropbox,Subscriptions
DROPBOX,Subscriptions
dropbox,Subscriptions
iCloud,Subscriptions
ICLOUD,Subscriptions
icloud,Subscriptions
Google One,Subscriptions
GOOGLE ONE,Subscriptions
google one,Subscriptions
Notion,Subscriptions
NOTION,Subscriptions
notion,Subscriptions
GitHub Pro,Subscriptions
GITHUB PRO,Subscriptions
github pro,Subscriptions
ChatGPT Plus,Subscriptions
CHATGPT PLUS,Subscriptions
chatgpt plus,Subscriptions
Grammarly,Subscriptions
GRAMMARLY,Subscriptions
grammarly,Subscriptions
NordVPN,Subscriptions
NORDVPN,Subscriptions
nordvpn,Subscriptions
McAfee,Subscriptions
MCAFEE,Subscriptions
mcafee,Subscriptions
AWS,Subscriptions
AWS,Subscriptions
aws,Subscriptions
Domain Name,Subscriptions
DOMAIN NAME,Subscriptions
domain name,Subscriptions
Website Hosting,Subscriptions
WEBSITE HOSTING,Subscriptions
website hosting,Subscriptions
Mailchimp,Subscriptions
MAILCHIMP,Subscriptions
mailchimp,Subscriptions
Salesforce,Subscriptions
SALESFORCE,Subscriptions
salesforce,Subscriptions
Slack,Subscriptions
SLACK,Subscriptions
slack,Subscriptions
Zoom,Subscriptions
ZOOM,Subscriptions
zoom,Subscriptions
Newspaper,Subscriptions
NEWSPAPER,Subscriptions
newspaper,Subscriptions
Magazine,Subscriptions
MAGAZINE,Subscriptions
magazine,Subscriptions
HelloFresh,Subscriptions
HELLOFRESH,Subscriptions
hellofresh,Subscriptions
Blue Apron,Subscriptions
BLUE APRON,Subscriptions
blue apron,Subscriptions
Patreon,Subscriptions
PATREON,Subscriptions
patreon,Subscriptions
Substack,Subscriptions
SUBSTACK,Subscriptions
substack,Subscriptions
Medium,Subscriptions
MEDIUM,Subscriptions
medium,Subscriptions
Canva,Subscriptions
CANVA,Subscriptions
canva,Subscriptions
Dashlane,Subscriptions
DASHLANE,Subscriptions
dashlane,Subscriptions
1Password,Subscriptions
1PASSWORD,Subscriptions
1password,Subscriptions
Hulu Premium,Subscriptions
HULU PREMIUM,Subscriptions
hulu premium,Subscriptions
Disney+,Subscriptions
DISNEY+,Subscriptions
disney+,Subscriptions
Bumble,Subscriptions
BUMBLE,Subscriptions
bumble,Subscriptions
Tinder,Subscriptions
TINDER,Subscriptions
tinder,Subscriptions
Squarespace,Subscriptions
SQUARESPACE,Subscriptions
squarespace,Subscriptions
Wix,Subscriptions
WIX,Subscriptions
wix,Subscriptions
Shopify,Subscriptions
SHOPIFY,Subscriptions
shopify,Subscriptions
Walmart Grocery,Groceries
WALMART GROCERY,Groceries
walmart grocery,Groceries
Kroger,Groceries
KROGER,Groceries
kroger,Groceries
Whole Foods,Groceries
WHOLE FOODS,Groceries
whole foods,Groceries
Trader Joe's,Groceries
TRADER JOE'S,Groceries
trader joe's,Groceries
Aldi,Groceries
ALDI,Groceries
aldi,Groceries
Safeway,Groceries
SAFEWAY,Groceries
safeway,Groceries
Publix,Groceries
PUBLIX,Groceries
publix,Groceries
Costco Grocery,Groceries
COSTCO GROCERY,Groceries
costco grocery,Groceries
Target Grocery,Groceries
TARGET GROCERY,Groceries
target grocery,Groceries
Fresh Fruits,Groceries
FRESH FRUITS,Groceries
fresh fruits,Groceries
Vegetable Stand,Groceries
VEGETABLE STAND,Groceries
vegetable stand,Groceries
Meat Market,Groceries
MEAT MARKET,Groceries
meat market,Groceries
Fish Market,Groceries
FISH MARKET,Groceries
fish market,Groceries
Bakery,Groceries
BAKERY,Groceries
bakery,Groceries
Dairy,Groceries
DAIRY,Groceries
dairy,Groceries
Organic Food,Groceries
ORGANIC FOOD,Groceries
organic food,Groceries
Asian Grocery,Groceries
ASIAN GROCERY,Groceries
asian grocery,Groceries
Indian Grocery,Groceries
INDIAN GROCERY,Groceries
indian grocery,Groceries
Mexican Grocery,Groceries
MEXICAN GROCERY,Groceries
mexican grocery,Groceries
Farmers Market,Groceries
FARMERS MARKET,Groceries
farmers market,Groceries
Bulk Food,Groceries
BULK FOOD,Groceries
bulk food,Groceries
Snacks,Groceries
SNACKS,Groceries
snacks,Groceries
Beverage,Groceries
